Date,Product,Stars,Title,Review
11/26/14,iRobot Roomba 650 for Pets,5,Roomba!!,Wow!! is all I can say. I love it!!
2/12/15,iRobot Roomba 650 for Pets,5,How did I live without this!!?!,"Wow! Now that I don't have to sweep and vacuum up dog hair every day, my life is freed up for activities. But, what will I do with all of this newfound free time? I will have to find some new hobbies, maybe even become Renessaince Festival enthusiast.Seriously though, this little guy is amazing. I have an Australian Shepherd and Dark, Dark, DARK hardwood floors. He sheds like nobody's business,  especially in the Houston heat. I was getting tired of my apartment looking like something out of The Good, The Bad, and The Ugly with all of these little 'hairball' tumbleweeds rolling around.Then, this brown box marked Amazon Prime shows up and I open it up to reveal my night in shining armor. A little, round, robotic vacuum that would cure my apartment of this perpetual Wild, Wild West vibe. Buster, as I named my little robot, is amazing. He zips around my apartment everyday at 10am while I am at work and I get to come home to emaculate, clean, HAIRLESS floors! It's a miracle.The 2 minutes of emptying his dust bin that you have to do everyday is nothing compared to the joy he brings you. I HIGHLY recommend buying one of these. You will wonder how you ever lived without it. I also reccomend you attach a mustach or nice hat to him and give him a name."
11/27/15,iRobot Roomba 650 for Pets,5,Would not be without one now that I have hardwoods ...,"Would not be without one now that I have hardwoods everywhere. I nicknamed it ""Robo.""  Not very clever, but kind of animates it for me."
1/20/14,iRobot Roomba 650 for Pets,5,A big help!,"Would not be without it again.  The real test will be during  shedding season, for now -it is wonderful!Yippee for me!"
7/18/15,iRobot Roomba 650 for Pets,3,tile ) like a champ,"Worth it even with the hiccups .Pros: no more sweeping , seriously this things cleans floors ( hardwood , carpet, tile ) like a champ ...... Does what it's supposed except when it doesn'tCons :Won't dock itself hasn't since we've owned it , so we just plug it to charge which means we can't program it to clean on a scheduleNeeds frequent maintenance to keep the side brush clean and spinning . Have had to contact support for one new wheel after the machine would only run in a circleEven after all that I would still recommend it"
12/29/14,iRobot Roomba 650 for Pets,5,Works wonderful!! Had to raise a few pieces of ...,Works wonderful!!  Had to raise a few pieces of furniture so it wouldn't get stuck.  Cleans great as scheduled.  Worth the money>
2/8/15,iRobot Roomba 650 for Pets,5,It's a robot vacuum!,"works well. It is very nice to come home to a clean house. We have dark hardwood floors and have a German Shepherd and two long-haired cats. The roomba is full or hair and dust every day when we get home, but the floors are clean."
1/1/15,iRobot Roomba 650 for Pets,4,Happy with its,Works well. Happy with its performance
10/10/15,iRobot Roomba 650 for Pets,4,Good substitue for occassional vacuuming,"Works well if you turn it on daily and is probably a good substitute to weekly vacuuming.  It does not outdo a vacuum pound for pound for is definitely a convenience. Not cheap!  It's easy to use and does snag it self too often.remember to clean it often for best results.  However be very very careful if you have liquid messes on the floor.  Check to make sure no liquid soils around. If you don't this will run over any messes and pretty much spread it all over the house, leaving you with a bigger headache than before.  Overall it's tech that is worth getting."
10/14/14,iRobot Roomba 650 for Pets,2,Two Stars,Works well but I was shocked when the vacuum was deliver with heaps of dog fur!!
2/5/15,iRobot Roomba 650 for Pets,5,Five Stars,works well
10/20/14,iRobot Roomba 650 for Pets,5,Five Stars,"Works very well, you just need to clean it out after each use."
4/7/15,iRobot Roomba 650 for Pets,4,Works great and at a great price,"Works really well! Docks its self almost every time and does a great job cleaning. Needs to be emptied often, but still beats having to vacuum everyday. Has no problem picking up hair from my two dogs."
12/23/14,iRobot Roomba 650 for Pets,5,We have all hard floors but it goes over the various rugs just fine. We have two dogs and two cats,Works really well and is much more thorough than I am.  We have all hard floors but it goes over the various rugs just fine.  We have two dogs and two cats.  One of the best things I've ever purchased.
3/27/15,iRobot Roomba 650 for Pets,4,Doin the Roombaaaaaa!,"Works like a champ. Does its work and goes home to charge. Very cool product. The dogs don't seem to mind it either. They seem indifferent, the rascals.We have a very dark area rug with a goldish paisley pattern it doesn't like. It gets confused on it and will stop. It thinks it's going over a cliff or something. Other than that it is really rather remarkable. Works awesome on the hardwoods. Collects all the dog hair like magic."
10/23/15,iRobot Roomba 650 for Pets,4,Four Stars,Works great. Will get tangled in cords but other than that a great product. My wife loves it.
12/24/14,iRobot Roomba 650 for Pets,5,Works Great. Sometimes gets cords tangled so you have to ...,"Works Great. Sometimes gets cords tangled so you have to ""childproof cords"". I would buy again and recommend. Great back saver.."
3/29/13,iRobot Roomba 650 for Pets,4,"Yep, it really works",Works great. Push the button and head to the store and when you get back your floor is clean. It's a little noisier than I hoped and has trouble getting onto our rug which is why I only give it 4 stars. I wouldn't use it for carpet floors. It docks well and does a great job going around chair legs and corners.
9/7/15,iRobot Roomba 650 for Pets,4,Works great. I have big tile grout joints and it ...,"Works great. I have big tile grout joints and it handles them fine. It almost never makes it home, so my daughter and I get to have fun trying to find ""Linda"""
5/8/14,iRobot Roomba 650 for Pets,5,Great machine,Works great.  My only complaint would be that it is a little big to fit under some furniture bir I guess I just need to pull out the broom and sweep the dog hair out to the open area.
1/1/15,iRobot Roomba 650 for Pets,5,Works great. Cleans extremely well picking up fine lint and ...,"Works great.  Cleans extremely well picking up fine lint and dust on hard wood floors and carpet.  Battery life is very good too between charges.  I have not had to clean out the brushes, only empty out the dust receptacle and vacuum the filter."
10/23/14,iRobot Roomba 650 for Pets,5,Five Stars,Works great.
2/25/15,iRobot Roomba 650 for Pets,5,My cleaning wizard!,"Works great, I scheduled it to run twice a week. It learned every inch of the house. I have a labrador and two black cats, it picks up all pet hair. My floors are tile and hardwood and they look great. Make sure to clean out hair and dirt after each cleaning cycle. Great investment."
3/5/15,iRobot Roomba 650 for Pets,5,Five Stars,"Works great, fast shipping."
6/2/15,iRobot Roomba 650 for Pets,3,"Works great, but we are less than 6 months into ...","Works great, but we are less than 6 months into use. (First sporadically when I remembered to start and 2 weeks on an everyday setting) and our wheel is broken. Customer service was friendly and did troubleshoot, but very disappointing that such an investment would break so quickly. Really is a game changer in terms of vacuuming if you have dogs, but concerned how long it will last given this problem."
3/29/15,iRobot Roomba 650 for Pets,5,Five Stars,Works great! Would like to own two of them.
8/16/15,iRobot Roomba 650 for Pets,5,wooden floors stay clean.,Works great! This is a fine product. I've had this for 3 months now and it really helps me keep my wooden floors clean.
5/4/14,iRobot Roomba 650 for Pets,5,Best $300 I ever spent,Works great! I have 2 cats and it makes my home feel super clean. It gets all the corners that I don't normally get to.
9/15/14,iRobot Roomba 650 for Pets,4,Time saver!,Works great! Especially with a new baby. Our time is now worth more. You have to remember to pick up some rugs. But it showed us that our vacume needed to be replaced.
11/24/14,iRobot Roomba 650 for Pets,4,Works great! Should have bought sooner,Works great!  Should have bought sooner!
2/18/15,iRobot Roomba 650 for Pets,5,Five Stars,Works great!
1/6/16,iRobot Roomba 650 for Pets,5,Five Stars,Works great would buy again
1/21/14,iRobot Roomba 650 for Pets,4,Love it!,works great put it down and let it go picks up all kinds of debris. the only knock on this product is that the collection tray is small.
12/31/14,iRobot Roomba 650 for Pets,5,Works great keeping our floors hair free,Works great keeping our floors hair free! Very minimal effort involved cleaning the filter and saved us SO much time cleaning. Absolutely worth it.
5/27/15,iRobot Roomba 650 for Pets,5,Five Stars,Works great for picking up cat hair and dander.
5/21/15,iRobot Roomba 650 for Pets,4,Four Stars,Works great for pet hair
5/29/15,iRobot Roomba 650 for Pets,5,Five Stars,"Works great for cleaning up dog hair. Easy, clean and efficient."
2/14/14,iRobot Roomba 650 for Pets,4,Roomba rules,Works great especially small rooms and gets  up pet hair as well as the stink bugs. It is easy to clean out filter. In a large room it got stuck twice. Would recommend it.
1/4/16,iRobot Roomba 650 for Pets,4,My good friend,Works great but it sometimes ignores the virtual wall.
5/20/15,iRobot Roomba 650 for Pets,5,Five Stars,Works great and picks up dog hair too.  Love it!
12/7/14,iRobot Roomba 650 for Pets,5,Five Stars,Works great
4/10/15,iRobot Roomba 650 for Pets,5,Five Stars,Works great
4/15/15,iRobot Roomba 650 for Pets,5,Five Stars,works great
2/20/15,iRobot Roomba 650 for Pets,4,Four Stars,Works good.  A bit noisy.
4/3/15,iRobot Roomba 650 for Pets,5,Works better than my vacuum & I'm able to set the ...,Works better than my vacuum & I'm able to set the schedule timer to run while I'm at work. What a wonderful experience to come home to a clean house after working all day
8/19/15,iRobot Roomba 650 for Pets,5,Five Stars,works better than I ever imagined
6/21/15,iRobot Roomba 650 for Pets,4,Wow for Roomba,Works as talked about.  Daughter even takes it to her room to clean floors.
12/22/14,iRobot Roomba 650 for Pets,5,Five Stars,Works as good as my $900 roomba (newest model)
5/20/15,iRobot Roomba 650 for Pets,5,Amazing!,Works amazingly well. We have 2 dogs and allergies. This vacuum picks up so much more than my upright vacuum and I don't have to lift a finger! I vacuumed with my old vacuum right before I used this one and the amount of dirt it picked up was kind of gross! (Shown in the photo attached) We have been living in filth that we didn't know was there.  It is very easy to maintain and I love that you can schedule a time for it to work. Also it easily goes from carpet to hard floor to rugs without getting stuck. I wish I had purchased this years ago! My cleaning life has forever been changed!
10/5/15,iRobot Roomba 650 for Pets,5,Five Stars,"Working very well,exceeding my expectations"
1/5/15,iRobot Roomba 650 for Pets,4,Four Stars,Working fine so far!
1/31/15,iRobot Roomba 650 for Pets,5,Wonderful! I have two little dogs that are constantly ...,Wonderful! I have two little dogs that are constantly bringing in grass and bits from out side onto my very dark wood floor. I was having to sweep and dust mop constantly. Not any more...I named her Sukie and she does a great job!  A little loud...but worth it!
1/20/15,iRobot Roomba 650 for Pets,4,Enjoy,Wonderful great with pets and babies
5/23/15,iRobot Roomba 650 for Pets,5,"Not only an appliance, but a friend, as well",Wonderful addition to my household!
12/28/15,iRobot Roomba 650 for Pets,5,... teens in the house - this is my new best friend! 'Robbie' gets everything,With three teens in the house - this is my new best friend!  'Robbie' gets everything!
2/20/13,iRobot Roomba 650 for Pets,5,Dumb as a brick but gets the job done,"With the exception of the chair/table leg ""spin""  the path finding is dumber than most bots in games, but it manages to get the floor rather clean through sheer persistence."
10/21/15,iRobot Roomba 650 for Pets,5,"With 6 dogs, keeping the floors clean was a ...","With 6 dogs, keeping the floors clean was a challenge. The Robot runs every day and has found enough dog hair to knit 3 or 4 more dogs."
1/22/13,iRobot Roomba 650 for Pets,5,Love this vac,With 4 pets the only downside is I have to empty it a few times as it does the entire first floor of my home.  It really works great and the convenience of only pushing a button every other day to keep control of the pet hair on the wood floors is terrific.
3/19/15,iRobot Roomba 650 for Pets,5,a true hard worker,"With 3 cats at home, this robot has been a lifesaver and a blessing. I program it for 3 days a week, and now I don't spend all weekend cleaning my floors."
12/23/15,iRobot Roomba 650 for Pets,5,"Works great, we run it every day and it always ...","Wish we would of purchased one of these years ago. Works great, we run it every day and it always has dust and dirt in the bin. Our floors have never been cleaner. Will buy another when this one wears out."
12/3/15,iRobot Roomba 650 for Pets,5,The Labs shed like crazy and we always have hair everywhere,"Wish we had purchased a long time ago!  We have 3 indoor dogs, 2 being large Labs.  The Labs shed like crazy and we always have hair everywhere.  It required daily vac/sweeping to keep it under control at all.  The Roomba 650 works great!  We run it every day and it keeps the hair cleaned up.It will not totally replace vacuuming, as the Roomba cannot get under the couch or chairs.  It will run a long time on a charge, but if you are like us and there is a lot of hair to pick up, you will need to stop it occasionally and empty the collection area and brushes.Overall I am thrilled (and a bit mesmerized :-) ) by this product."
10/28/14,iRobot Roomba 650 for Pets,4,Wish I had bought years ago!!,Wish I had bought years ago !!
7/3/15,iRobot Roomba 650 for Pets,5,Five Stars,Will change your life forever. You will wonder how you managed without it before.
11/18/15,iRobot Roomba 650 for Pets,4,Good gift,Wife loves it.  Got points for this purchase.  Turn it on and leave.  When you get back the room was done and the I robot was charging.
1/6/16,iRobot Roomba 650 for Pets,5,Amazing,Why I have not bought one sooner? This device is a must have for busy families! It works well and the noise is tolerable. I run it every time we leave the house and it's my little miracle :) I would definitely buy again and probably upgrade to a model that is compatible with the light house
8/15/15,iRobot Roomba 650 for Pets,5,No complaints here!,Why have I not ordered this sooner! This is the best thing ever for my laminate floors. I turn it on almost every morning before I leave for work and come home to nice and clean floors. It definitely saves me a ton of time during the week.
2/5/15,iRobot Roomba 650 for Pets,5,It's the best thing since sliced bread,Why didn't I order this sooner?!?! It's the best thing since sliced bread!!
8/15/14,iRobot Roomba 650 for Pets,5,Best money ever spent,Who knew there was so much dust and cat hair EVERY SINGLE DAY in  my room?  For the first time  ever I feel like  my room is clean...and with no effort!  I recommend this to everyone.
11/11/15,iRobot Roomba 650 for Pets,5,We call it Herbie and we love it,"Who knew a vacuum cleaner would be the best gift of the Xmas season. I'll keep this short n sweet. This vacuum really works well and is super easy to use and low maintenance. Took it out of the box and 2 minutes later Herbie is cleaning the house.. going into corners, under the couch, along all the edges and after about an hour he finds his way back to his docking station, whistles a victory song and recharges himself. It's fantastic!"
12/28/13,iRobot Roomba 650 for Pets,5,We call it Herbie and we love it,"Who knew a vacuum cleaner would be the best gift of the Xmas season.  I'll keep this short n sweet.  This vacuum really works well and is super easy to use and low maintenance.  Took it out of the box and 2 minutes later Herbie is cleaning the house.. going into corners, under the couch, along all the edges and after about an hour he finds his way back to his docking station, whistles a victory song and recharges himself.  It's fantastic!"
9/3/13,iRobot Roomba 650 for Pets,4,Glad I finally made the purchase,"While the Roomba isn't perfect, it does a much better job on the floors than I had really anticipated.  It does a good job on my dense, low pile carpets, and easily moves back and forth from hardwood to carpet with no problem.  There are two improvements that would make it perfect. When it moves from bare floor to carpet, there doesn't seem to be enough suction to fully clean the edge of the rug.  I need to periodically go over this area with my small vacuum.  Also, it bumps pretty hard when it comes to a dark colored obstacle.  There hasn't been any damage because of the rubber bumper on the Roomba, but  the bumping is noisy and tends to move things around a bit.  However, these are minor issues and don't detract from the overall performance.  My husband was totally skeptical when I decided to buy the Roomba, but he is now a convert.  I love sitting in my recliner, reading, while my house is getting vacuumed."
4/5/15,iRobot Roomba 650 for Pets,5,Love it so much I bought another and gifted it!,"Where on earth has this product been all of my life???? If you had given be a trial day, then told me it costs $5000, I would be tempted to buy it. I have a pug (shed central!!!!) and a pitt mix (mild shedding) and their hair is no match! I run it about twice a week and only need to mop behind it. Every so often it may miss a small patch on my floor but it hardly ever does. It picks up hair, dirt, and everything in between! Do be sure you clear everything off your floor, it doesn't have hands, and let it go! I wish it were a touch thinner to go under my new couches but it went under my old ones without difficulty. Every so often mine will stop for me to empty the cartridge before continuing, but that usually happens if I use it right after I blow dry my hip length thick hair, and well, you could hardly dock it points for that."
3/12/14,iRobot Roomba 650 for Pets,5,My wife bought it without asking me...,"When my wife showed me what she had gotten I was certain it was a waste of money. I clean the floors in our house, but after shoulder surgery it was difficult. We have wood floors with area rugs and I use an oreck vaccum on all of them. I was amazed at how well this little robot kept the floors clean. It even goes under the furnature to get the dust bunnies I only got once a month. The only problem we have is that once in a while it will get stuck under the kitchen cabinet. Over all I am well pleased with the performance and have had no problems so far."
1/22/14,iRobot Roomba 650 for Pets,5,Review for pet owners with HARDWOOD and/or TILE floors,"When I was trying to decide whether or not to buy this item, I poured through the reviews looking for customers that used this only on hardwood and tile floors.  I didn't see any reviews that particularly met this, so I wanted to add this to the plethora of already existing reviews so that people in similar situations would have a helpful review.The big question... does this product work on hardwood and tile floors?  You bet it does!I live in a house that has only hardwood floors in the living and bedroom areas, and tile in the bathrooms and kitchens.  To clean the floors, I would typically have to sweep them, and then mop the the floors with a bissel steam mop.  When you own a dog, sweeping the floors constantly is a must.  The roomba 650 effectively takes sweeping out of the equation.  In fact, using Roomba produces better results than manually sweeping the floors.  You don't have to deal with rogue dirt and debris falling off the end of the bristles.  The result is a perfectly clean floor.I set the roomba to run each night after I go to bed.  I was concerned that he would be too loud, but with the door closed I can barely hear him running around in the other room.  It's a quiet machine.  By running it each night, every morning the floor is clear and free of debris.  Note that you may need to roomba proof the room a little (move a few things to make sure he can get everywhere and doesn't snag loose wires, etc...).By keeping my hardwoods and tiles free of debris, I've noticed that the dirt and grime builds up less frequently and I can steam mop the floors less than I used to.The only downside is that the waste basin is fairly small.  It's easy enough to clear out each time I run it, but I feel like if it stored a little more that the programming feature would be a bit more useful.I haven't had to change the filter, and nothing has gotten tangled in the brushes yet to where I've needed to do in depth cleaning of the roomba itself (though tools were provided for that) and I've had it for about 4 months now.The bottom line is that this has saved me the hassle of having to sweep every other day.  Instead, roomba takes care of it nightly and my hardwoods and tile floors have never looked better.  It has removed SO MUCH STRESS from dealing with them that it's amazing.  If you own a pet and have hardwood or tile floors you want cleaned regularly, this is a MUST BUY!  It's pricey, sure, but it's worth every penny."
10/24/12,iRobot Roomba 650 for Pets,5,Every dog should come with one of these!,"When I was given the opportunity to give this little vacuum robot a try I was skeptical that it would clean up pet hair better than the 780 and 770 Roomba models.  Over the past few months I've been pretty impressed with how those Roombas pick up almost all of the dog hair that crosses their path.  So I was intrigued as to how much better the 650 model which is intended for cleaning up in houses with pets would fare.  I set the 650 out on a floor that had previously been vacuumed just to see what it could do.  I was surprised that it completed the cleaning cycle with a bin full of dog hair.  Not to shabby!Set up for the vac is pretty simple.  Just charge it before the first use and hit the clean button to send the little robot on it's way.  It takes our robot about and hour and a half to two hours to clean the second floor of our house.Setting the vac to clean on a schedule is very easy.  The menu is easy to navigate, and making changes to the schedule is simple.The collection container for this vac appears to be slightly larger than the one on the 770 and 780 models which are small. If I run  the Roomba every day and empty the waste collection bin after each run, I don't have any issues with the bin filling up mid-cleaning.  Only when the vac hasn't run for a day do I have an issue with the bin filling up before the robot is done cleaning.  So even with the slightly larger capacity, you'll still want to empty the bin after each use.I've had a few issues with the vacuum getting stuck on things or sucking up things it shouldn't.  If you leave something out with long strings, it can get caught up in the brushes for the vac.  We've had a few instances where the vac has wound it self up on toys with pull cords or clothes that my kids have left on their bedroom floors.  When this happens the vac simply stops.  Unwinding it is easy enough.  Nothing that has gotten caught in the vac has been damaged so I think that's a positive aspect.The 650 robot comes with just one tool for cleaning the brushes while the 770 and 780 models come with two tools for cleaning the brushes and cutting loose any hair that may wind itself around them.  It can take a little bit of time to free brushes, but I found it easier than cleaning the brushes of my upright vacs.  I think it's a shame that the cleaning tool I find to be the most useful is not included with the 650 model.Overall, I'm very happy with the roomba.  It's eliminated the need for me to pull out the vacuum each day.  As a mom with a young baby I appreciate that this little robot saves me about twenty minutes of housework each day.  That's twenty minutes that I can spend with my baby instead of cleaning.Compared with the 770 and 780 models you will note a few differences.  The filter system on the 650 is different.  Instead of two filters you have one larger one that seems like it is made of cheaper materials.  The plastic housing for the 650 feels and looks cheaper than that of the higher numbered models which have a sleeker appearance and nicer materials for their housing. Performance wise they appear to be pretty much the same.  From the bottom of the vacuum, they're essentially the same machine.  As far as I can tell, the only difference is the appearance of the top of the robot.  They all function the same.The higher numbered models carry with them a more substantial price tag.  I don't know if it's necessarily worth spending a couple of hundred of dollars more to get the next level up series.  What I can tell you is you get more spare parts and optional accessories with the higher level series.  With the 650 a virtual wall, two extra filters and a cleaning tool are included.  With the next level up you will find a remote control in the box along with some replacement brushes (quantity and type depends on the model you select) an additional tool and either two virtual walls or two virtual wall lighthouses.One thing that I LOVE about the 650 model is it comes with an actual paper Owner's Manual and quick start guide.  With the 700 series you have to watch a frustrating DVD that doesn't give you half the information that is contained in the Owner's Manual.  Reading through this manual alerted me to the fact that there's a ""Virtual Wall Halo"" (not included) that can be purchased to keep the Roomba from going after your pets bowls.  I had resigned myself to the fact that I either needed to remember to pick up the dog's bowls before I started Roomba or wind up cleaning up puddles from it hitting the water bowl.Overall, the Roomba 650 is a handy vacuum to have. By no means is this little vac as poweful as an upright vacuum, but it certainly does a good job of keeping the floors neat and tidy.  It takes the chore out of cleaning up after your cat or dog."
12/16/13,iRobot Roomba 650 for Pets,5,Baby Roomba...,"When I first told my lady that I bought a ""robot vacuum cleaner"" I was in for a little trouble. She thought it was a ridiculous idea and waste of money. After almost a year with the Roomba, she's converted and quite possibly in love with the machine! Apparently its new name is ""Baby Roomba.""The Roomba shipped promptly and arrived with no damage. The packaging was adequate and set-up was a breeze. I scheduled it to run every Monday, Wednesday and Friday at 8:00am without needing to consult the directions. I've yet to setup the Virtual Wall, but it looks easy enough. It's fascinating to watch it explore the room, although frightening to wake up to on the occasional lazy Friday.It kept my ~900 square foot apartment incredibly clean on its own (I'll admit to vacuuming the old-fashioned way about once every other month) and has only had a few mishaps. It's closed doors behind itself occasionally and been unable to return to the dock. It disagreed with a rubber-band once, but seems to handle bobby-pins with ease.I do a regular maintenance cleaning on it once a month, which might be excessive but I like to keep it clean and healthy. I need to order a new filter and brushes for it soon as well, but that seems cheap enough.All in all, it's been one of my absolute favorite purchases! I have no complaints and hope to add another one to my now larger home soon. If you are on the fence, go for it! It will be the new member of your family :)"
2/14/15,iRobot Roomba 650 for Pets,5,"Get 1, u will love it","What can I say. Push the button and let it ride.  Def a little loud, so no TV when is on.  I turn it on before I leave."
10/21/15,iRobot Roomba 650 for Pets,5,Pet Owners Be Warned - Read this if you own pets.,"What a life saver.  My wife and I own two rabbits.  We usually let them roam around our 2 BR apartment in the mornings and evenings.  Although they are litter box trained, when they free range they tend to drop pellets randomly.  It happens.  Not a big deal as bunny poo is easy to clean up.  But it does get annoying constantly stepping on it, especially when guests come over and you have to vacuum the entire apartment.I got so tired of it that I put down the money and got a Roomba.  What a miracle.  Significantly less bunny droppings.  I run it couple times per week and it works miracles.  The first few times it pulls up a lot of dirt you may not have known you had.  It only gets stuck in one area of  the apt, under an Ikea chair, but I put a pillow under it and that fixes the problem.PET OWNERS WARNING - The first few times I ran this the rabbits were out.  It is a robot and does not care about your pet.  Unfortunately, your pet is not a robot and may care about the Roomba making them move.  In my case my male rabbit's response was to plop down a rather nasty bit of excrement that wasn't the normal hard pellet.  The Roomba also does not care what it picks up.  In this case the pile of wet excrement left by my rabbit got smeared under the Roomba (thankfully missing the brush) and then smeared more on the carpet.  Not a nightmare to clean up but definitely not fun and left a rather unpleasant aroma in the apartment.  If this were a dog or cat I cannot even imagine how much worse it could have been.  Also, google pets attacking Roomba and you'll see quite a few $$$ Roombas chewed to pieces by dogs.  So, before leaving your pet alone with one of these, give it some test runs or you may not like the results."
12/5/14,iRobot Roomba 650 for Pets,5,"What a great machine, worth it's weight in gold","What a great machine,worth it's weight in gold."
7/8/14,iRobot Roomba 650 for Pets,5,Five Stars,What a great device to have roaming around your house.
12/20/13,iRobot Roomba 650 for Pets,5,Roomba,"Well....its day four in our Roomba household. So far its doing its job. It did get stuck under our fridge a few times. Temporary fix for that is putting some hamburger helper boxes in front so it can't jamb itself underneath. I do believe it is doing a good job at keeping the floors clean. Keep in mind that I have no children and no pets. I bought this model because I have long hair and shed quite a bit. Hoping that this model will be able to deal with it. I didn't really find the noise all that bothersome as others have mentioned in other ratings of this product. Also...super easy to setup. Basically took it out of the box, pulled the battery tab, charged it, and sent it on its way!"
5/12/13,iRobot Roomba 650 for Pets,2,Get's the floor... a little cleaner?  Leaves lots behind,"Well, I bought this after reading a lot of positive reviews and have to say I'm disappointed.  It does fill up with a lot of lint and dirt after each cleaning, but the hard wood floors just don't look vacuumed at all.  There are tiny pieces of grass, crumbs, etc left when it has finished that stick out like a sore thumb.  If I have to vacuum after my $450 robot vacuums, then why have it?  I'm going to try to return it.  Not sure how that works.  I'll try to remember to update and let you know."
11/26/15,iRobot Roomba 650 for Pets,5,WORKS EXTREMELY WELL AND I LOVE IT.,WELL WORTH THE PRICE.  WORKS EXTREMELY WELL AND I LOVE IT.
11/3/14,iRobot Roomba 650 for Pets,5,Worth the $$ if you have a busy home!!,"Well worth the price!!!!!! I could not keep up with all the sweeping behind two dogs and my 4-yr-old without this thing. We even named it, ""Shirley"". (We were always saying, ""surely, it's vaccuumed the bedroom by now.."")"
